#Elements,Time
30000,10
40000,5
50000,5
60000,6
70000,7
80000,11
90000,14
100000,16
110000,16
120000,17
130000,15
140000,17
150000,16
160000,16
170000,19
180000,25
190000,26
200000,28
210000,30
220000,31
230000,35
240000,36
250000,36
260000,37
270000,34
280000,34
290000,33
300000,31
310000,32
320000,33
330000,35
340000,38
350000,40
360000,38
370000,40
380000,40
390000,42
400000,47
410000,44
420000,49
430000,51
440000,54
450000,56
460000,55
470000,55
480000,54
490000,55
500000,61
510000,67
520000,65
530000,65
540000,60
550000,60
560000,71
570000,69
580000,69
590000,69
600000,66
610000,67
620000,75
630000,78
640000,71
650000,74
660000,75
670000,84
680000,85
690000,81
700000,79
710000,84
720000,80
730000,83
740000,87
750000,84
760000,84
770000,86
780000,86
790000,97
800000,94
810000,95
820000,98
830000,95
840000,106
850000,94
860000,97
870000,98
880000,107
890000,102
900000,103
910000,104
920000,104
930000,110
940000,107
950000,106
960000,107
970000,117
980000,119
990000,118
1000000,114
1010000,124
1020000,114
1030000,124
1040000,133
1050000,135
1060000,123
1070000,126
1080000,132
1090000,123
1100000,124
1110000,125
1120000,136
1130000,127
1140000,134
1150000,141
1160000,131
1170000,138
1180000,140
1190000,145
1200000,136
1210000,146
1220000,144
1230000,141
1240000,145
1250000,151
1260000,144
1270000,149
1280000,161
1290000,159
1300000,175
1310000,151
1320000,162
1330000,170
1340000,180
1350000,167
1360000,174
1370000,173
1380000,179
1390000,187
1400000,177
1410000,182
1420000,184
1430000,191
1440000,186
1450000,170
1460000,176
1470000,184
1480000,184
1490000,199
1500000,204
1510000,200
1520000,198
1530000,192
1540000,203
1550000,201
1560000,208
1570000,190
1580000,207
1590000,201
1600000,207
1610000,209
1620000,209
1630000,209
1640000,213
1650000,200
1660000,207
1670000,216
1680000,209
1690000,212
1700000,212
1710000,223
1720000,215
1730000,217
1740000,220
1750000,207
1760000,224
1770000,230
1780000,212
1790000,222
1800000,223
1810000,232
1820000,235
1830000,227
1840000,230
1850000,230
1860000,221
1870000,229
1880000,237
1890000,240
1900000,246
1910000,242
1920000,251
1930000,290
1940000,359
1950000,288
1960000,315
1970000,280
1980000,278
1990000,278
2000000,262
2010000,267
2020000,268
2030000,281
2040000,286
2050000,288
2060000,292
2070000,286
2080000,289
2090000,312
2100000,324
2110000,318
2120000,293
2130000,283
2140000,284
2150000,277
2160000,274
2170000,284
2180000,273
2190000,264
2200000,271
2210000,271
2220000,280
2230000,272
2240000,285
2250000,299
2260000,307
2270000,296
2280000,299
2290000,272
2300000,290
2310000,289
2320000,283
2330000,278
2340000,307
2350000,312
2360000,303
2370000,289
2380000,297
2390000,300
2400000,297
2410000,294
2420000,299
2430000,300
2440000,298
2450000,295
2460000,289
2470000,290
2480000,309
2490000,287
2500000,297
2510000,294
2520000,304
2530000,305
2540000,338
2550000,326
2560000,323
2570000,313
2580000,323
2590000,321
2600000,333
2610000,317
2620000,317
2630000,332
2640000,317
2650000,337
2660000,314
2670000,347
2680000,334
2690000,327
2700000,324
2710000,339
2720000,336
2730000,337
2740000,329
2750000,347
2760000,354
2770000,331
2780000,337
2790000,366
2800000,354
2810000,365
2820000,361
2830000,361
2840000,351
2850000,362
2860000,372
2870000,373
2880000,361
2890000,379
2900000,379
2910000,371
2920000,379
2930000,382
2940000,368
2950000,365
2960000,398
2970000,368
2980000,372
2990000,373
3000000,386
